jobpostingID,title,avg_salary,skill,city,state,companyName,size,revenue,industry,sector
1,"DATA CENTER SERVICES ANALYST I",-1,agile,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
1,"DATA CENTER SERVICES ANALYST I",-1,aws,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
1,"DATA CENTER SERVICES ANALYST I",-1,azure,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
1,"DATA CENTER SERVICES ANALYST I",-1,communication,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
1,"DATA CENTER SERVICES ANALYST I",-1,excel,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
1,"DATA CENTER SERVICES ANALYST I",-1,sas,Anchorage,AK,CTG,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
2,"DATA ANALYST and HEALTH",-1,communication,Anchorage,AK,"Manmade Creative Inc",Unknown,Unknown,Unknown,Unknown
3,"Data Analyst",-1,excel,Unknown,AK,"DS Technologies Inc","1 to 50 Employees","$1 to $5 million (USD)",Unknown,Unknown
3,"Data Analyst",-1,sql,Unknown,AK,"DS Technologies Inc","1 to 50 Employees","$1 to $5 million (USD)",Unknown,Unknown
4,"Data Analyst/Modeler",67000," r ",Anchorage,AK,"Integrated Statistics","51 to 200 Employees","$5 to $10 million (USD)","Health, Beauty, & Fitness","Consumer Services"
4,"Data Analyst/Modeler",67000,communication,Anchorage,AK,"Integrated Statistics","51 to 200 Employees","$5 to $10 million (USD)","Health, Beauty, & Fitness","Consumer Services"
4,"Data Analyst/Modeler",67000,excel,Anchorage,AK,"Integrated Statistics","51 to 200 Employees","$5 to $10 million (USD)","Health, Beauty, & Fitness","Consumer Services"
4,"Data Analyst/Modeler",67000,sql,Anchorage,AK,"Integrated Statistics","51 to 200 Employees","$5 to $10 million (USD)","Health, Beauty, & Fitness","Consumer Services"
5,"Data Analyst",53500,sas,Anchorage,AK,"Southcentral Foundation","1001 to 5000 Employees","$100 to $500 million (USD)","Membership Organizations","Business Services"
5,"Data Analyst",53500,sql,Anchorage,AK,"Southcentral Foundation","1001 to 5000 Employees","$100 to $500 million (USD)","Membership Organizations","Business Services"
6,"Cold Climate Data Researcher / Analyst II (Alaska)",107500,aws,Fairbanks,AK,"National Renewable Energy Lab","1001 to 5000 Employees",Unknown,Energy,"Oil, Gas, Energy & Utilities"
6,"Cold Climate Data Researcher / Analyst II (Alaska)",107500,communication,Fairbanks,AK,"National Renewable Energy Lab","1001 to 5000 Employees",Unknown,Energy,"Oil, Gas, Energy & Utilities"
6,"Cold Climate Data Researcher / Analyst II (Alaska)",107500,excel,Fairbanks,AK,"National Renewable Energy Lab","1001 to 5000 Employees",Unknown,Energy,"Oil, Gas, Energy & Utilities"
7,"Data Center Services Analyst I, II, III, or Senior",37000,communication,Anchorage,AK,"Alaska USA Federal Credit Union","1001 to 5000 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
7,"Data Center Services Analyst I, II, III, or Senior",37000,excel,Anchorage,AK,"Alaska USA Federal Credit Union","1001 to 5000 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
8,"Analyst, Network Statistical Data",72000,communication,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
8,"Analyst, Network Statistical Data",72000,excel,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
8,"Analyst, Network Statistical Data",72000,oracle,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
8,"Analyst, Network Statistical Data",72000,problem-solving,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
8,"Analyst, Network Statistical Data",72000,sql,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
8,"Analyst, Network Statistical Data",72000,tableau,Anchorage,AK,"General Communication Inc.","1001 to 5000 Employees","$500 million to $1 billion (USD)","Cable, Internet & Telephone Providers",Telecommunications
9,"Data Center Services Analyst II",52500,communication,Anchorage,AK,"Alaska USA Federal Credit Union","1001 to 5000 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
9,"Data Center Services Analyst II",52500,excel,Anchorage,AK,"Alaska USA Federal Credit Union","1001 to 5000 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
