1-800-Flowers.com,5,9,21,2.7
"1-800-HANSONS, LLC",2,4,23,3.6
14 West,3,13,19,4.1
22nd Century Staffing,2,3,14,4.0
22nd Century Technologies,5,5,43,3.4
2K Games,8,13,61,3.5
365 Retail Markets,2,5,46,4.1
391 Financial,8,13,102,
3D Systems,5,8,46,2.8
3M,7,12,49,3.9
451 Research,3,13,15,3.3
AAA Club Alliance,5,7,20,2.8
AAA Club Alliance,4,9,20,3.4
AAA Club Alliance,8,13,102,2.8
ABB,7,12,52,3.9
ACI Federal™,4,13,40,3.5
ADM,8,1,102,3.3
AGEISS Inc.,3,3,17,4.6
AIDS Healthcare Foundation,5,9,42,4.6
AMERICAN TECHNICAL SERVICES,1,2,17,3.6
APR Consulting Inc,4,6,14,3.6
ARK Solutions,3,5,43,3.9
ASAP Solutions,4,6,43,4.2
ASML,7,11,52,3.9
ASRC Federal Holding Company,6,8,40,3.4
ASSA ABLOY,7,12,51,3.4
ATJ,5,3,17,4.4
AUDACIOUS STUDIOS LLC,5,1,102,4.7
"AVER, LLC",1,13,17,3.6
AWIN,5,8,19,4.4
AZAD Technology Partners,8,13,43,3.9
AbbVie,7,12,12,3.8
Accelerate Diagnostics,3,4,12,4.4
Accelerate Diagnostics,8,13,102,4.4
Accentuate Staffing,1,4,14,4.2
AccruePartners,2,5,14,2.6
Achillion,2,4,12,3.5
ActivTrak,1,13,44,4.8
Acumen,3,4,40,3.3
AdamsGabbert,2,4,17,4.8
Adelante Healthcare,4,5,42,3.1
Advanced Radiology Services,3,7,42,4.0
Advanced Technology Group,2,4,43,3.1
Advantage Resourcing,7,9,14,2.8
Advantmed,5,13,42,3.9
Advocate Aurora Health,7,12,42,3.8
Aegis Premier Solutions,2,1,46,4.7
Aetna,7,12,48,3.4
Ageatia Technology Consultancy Services,2,6,14,3.1
Agilent Technologies,7,10,12,4.1
Agoda,5,8,45,4.2
Air Methods Corporation,5,9,42,3.1
"Airspace Link, Inc.",8,13,102,
Airswift,4,9,14,4.3
Akken Inc,2,3,14,3.9
Akron Children's Hospital,6,9,42,4.0
Alaka`ina Foundation Family of Companies,4,1,102,3.7
Alaska USA Federal Credit Union,5,7,36,3.4
Alation,3,5,44,4.8
Aldrich,3,4,17,3.9
Aldrich,6,10,15,3.3
Aledade,3,13,42,4.8
Alexion Pharmaceuticals,5,10,12,2.9
Alion Science & Technology,5,9,15,3.8
Alion Science and Technology,5,9,15,3.8
Alliance Global Tech Inc.,1,5,102,5.0
Alliance Health Professionals Pllc,4,1,42,1.5
AllianceBernstein,5,10,35,3.3
Alliant Credit Union,4,7,36,3.6
Allied Benefit Systems,3,13,48,3.6
Allo,4,3,89,4.3
Aloha Connects Innovation Program - Oahu,8,13,102,
Altair Engineering,5,7,46,4.1
Altimetrik Corp,5,13,43,3.8
Altisource,6,8,35,3.1
Amazon,7,12,45,3.9
American Auto Shield,3,4,48,4.1
American Credit Acceptance,4,6,34,3.1
American Equity,4,10,48,3.3
American Express,7,12,37,4.2
